time,Cl2m_rad_max,Cr_III_total,Cr_II_total,Cr_I_total,Cr_total,reactor_power_fraction,redox_ratio_CrIII_CrII
295,3.0079224451341e-10,0.1401236230914,0.26000415351349,0,0.40012777660489,1,0.5389284024808
300,3.0292056131079e-10,0.14262819856653,0.2575015223739,0,0.40012972094043,1,0.553892642077
305,3.0506626363276e-10,0.14511786850736,0.25501379759346,0,0.40013166610082,1,0.5690588896633
310,3.0722934207966e-10,0.14759251245423,0.25254109963191,0,0.40013361208614,1,0.58442967370205
315,3.094097795607e-10,0.15005201007058,0.25008354882598,0,0.40013555889656,1,0.6000075205866
320,3.1160755101793e-10,0.15249624119816,0.24764126533422,0,0.40013750653238,1,0.61579495239755
325,3.1382262314761e-10,0.15492508591427,0.24521436907977,0,0.40013945499404,1,0.63179448453884
330,3.1605495411962e-10,0.15733842459084,0.24280297969123,0,0.40014140428207,1,0.64800862325052
335,3.1830449329509e-10,0.15973613795552,0.24040721644165,0,0.40014335439717,1,0.66443986299506
340,3.2057118094295e-10,0.16211810715468,0.23802719818545,0,0.40014530534012,1,0.68109068371409
345,3.2285494795567e-10,0.16448421381843,0.23566304329342,0,0.40014725711185,1,0.69796354795278
350,3.2515571556493e-10,0.16683434012756,0.23331486958583,0,0.40014920971339,1,0.71506089784897
355,3.2747339505759e-10,0.16916836888247,0.23098279426345,0,0.40015116314592,1,0.7323851519846
360,3.2980788749274e-10,0.171486183574,0.2286669338367,0,0.4001531174107,1,0.749938702097
365,3.321590834203e-10,0.17378766845629,0.22636740405286,0,0.40015507250915,1,0.76772390964783
370,3.3452686260196e-10,0.17607270862148,0.22408431982128,0,0.40015702844276,1,0.78574310224786
375,3.3691109373509e-10,0.17834119007636,0.22181779513681,0,0.40015898521317,1,0.80399856993603
380,3.393116341804e-10,0.1805929998209,0.2195679430012,0,0.4001609428221,1,0.82249256131124
385,3.417283296941e-10,0.18282802592861,0.2173348753428,0,0.4001629012714,1,0.84122727951618
390,3.441610141654e-10,0.1850461576287,0.21511870293431,0,0.40016486056301,1,0.86020487807241
395,3.4660950936011e-10,0.18724728539007,0.21291953530891,0,0.40016682069898,1,0.87942745656668
400,3.4907362467134e-10,0.18943130100692,0.21073748067452,0,0.40016878168143,1,0.89889705618858
405,3.3385782381816e-10,0.19149058096483,0.20868016774868,0,0.40017074871351,0.95,0.91762711823892
410,3.1830669087669e-10,0.19342745346474,0.20674526775541,0,0.40017272122015,0.9,0.93558346251279
415,3.0243494867695e-10,0.19524414445687,0.20493055419682,0,0.4001746986537,0.85,0.95273320868178
420,2.8625789125701e-10,0.19694277366619,0.20323390682833,0,0.40017668049452,0.8,0.96904486431267
425,2.6979134320797e-10,0.19852535090529,0.20165331534625,0,0.40017866625154,0.75,0.98448840558072
430,2.5305161930002e-10,0.1999937726678,0.20018688279472,0,0.40018065546252,0.7,0.99903535074714
435,2.3605548501414e-10,0.20134981899602,0.19883282869831,0,0.40018264769433,0.65,1.012658826584
440,2.1881798475047e-10,0.20259515061526,0.19758949192775,0,0.40018464254301,0.6,1.0253336280117
445,2.0136142963457e-10,0.2037313063263,0.19645533330746,0,0.40018663963375,0.55,1.0370362712803
450,1.8370100539834e-10,0.20475970064659,0.19542893797429,0,0.40018863862088,0.5,1.0477450410825
455,1.6585491715818e-10,0.20568163256094,0.19451084148366,0,0.4001924740446,0.45,1.0574301719743
460,1.47840483808e-10,0.20649825106363,0.19369766538733,0,0.40019591645096,0.4,1.066085389572
465,1.2967808042685e-10,0.2072088473744,0.19298843054019,0,0.4001972779146,0.35,1.0736853333353
470,1.1138668885141e-10,0.20781652474972,0.19238228537416,0,0.40019881012388,0.3,1.0802269260163
475,9.2985069647493e-11,0.20832197374426,0.19187851306421,0,0.40020048680846,0.25,1.0856972488345
480,7.4492428181098e-11,0.20872575270638,0.19147652900959,0,0.40020228171597,0.2,1.0900853163885
